<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.04	0.94473	0.95409	0.94297	0.95089	165236	228230	4
2019.01.07	0.95174	0.95383	0.94802	0.95039	132908	186859	4
2019.01.08	0.95028	0.95055	0.94537	0.94749	140699	194367	4
2019.01.09	0.94743	0.95090	0.94569	0.94694	155712	210826	4
2019.01.10	0.94694	0.95198	0.94603	0.95051	134151	187566	2
2019.01.11	0.95054	0.95726	0.95034	0.95698	134903	190122	5
2019.01.14	0.95604	0.95670	0.95300	0.95584	110696	156741	5
2019.01.15	0.95578	0.95772	0.95189	0.95510	134783	183725	4
2019.01.16	0.95489	0.95579	0.94969	0.94969	110259	157529	5
2019.01.17	0.94964	0.95694	0.94954	0.95467	120652	173862	4
2019.01.18	0.95482	0.95613	0.94953	0.94954	109805	165221	5
2019.01.21	0.95019	0.95209	0.94880	0.95108	100454	138666	5
2019.01.22	0.95109	0.95242	0.94867	0.95089	109013	153749	3
2019.01.23	0.95089	0.95383	0.94910	0.95239	106501	158510	6
2019.01.24	0.95233	0.95522	0.94553	0.94621	132488	190282	5
2019.01.25	0.94625	0.95135	0.94471	0.94825	125434	182097	5
2019.01.28	0.94869	0.95235	0.94809	0.94984	92750	135808	6
2019.01.29	0.94973	0.95119	0.94724	0.94918	108772	160664	4
2019.01.30	0.94919	0.95470	0.94839	0.95265	143656	208337	1
2019.01.31	0.95264	0.95794	0.95178	0.95409	136783	195543	5
2019.02.01	0.95408	0.95528	0.94831	0.94919	119927	173226	4
2019.02.04	0.94858	0.94948	0.94565	0.94709	99622	145948	3
2019.02.05	0.94704	0.95226	0.94331	0.94907	100158	145705	2
2019.02.06	0.94903	0.95102	0.93833	0.93839	121181	175045	1
2019.02.07	0.93813	0.94531	0.93778	0.94464	111387	164356	4
2019.02.08	0.94462	0.94527	0.93877	0.94083	106128	154192	3
2019.02.11	0.94028	0.94392	0.93835	0.93918	99468	146146	1
2019.02.12	0.93919	0.94190	0.93836	0.93880	102948	151260	2
2019.02.13	0.93880	0.94237	0.93823	0.93913	100353	144091	1
2019.02.14	0.93919	0.94685	0.93919	0.94435	123821	179347	2
2019.02.15	0.94398	0.94707	0.94235	0.94524	147312	214821	6
2019.02.18	0.94519	0.94760	0.94269	0.94360	89482	131063	1
2019.02.19	0.94359	0.94833	0.94142	0.94619	106647	157126	1
2019.02.20	0.94619	0.94705	0.94234	0.94369	114046	164728	5
2019.02.21	0.94363	0.94873	0.93179	0.93769	144506	207530	1
2019.02.22	0.93747	0.94231	0.93552	0.93558	126290	182482	1
2019.02.25	0.93709	0.94696	0.93645	0.94484	115825	166591	1
2019.02.26	0.94478	0.94726	0.94361	0.94629	107126	151529	3
2019.02.27	0.94558	0.94746	0.93744	0.93901	184600	280510	1
2019.02.28	0.93854	0.94184	0.93175	0.93398	126477	185762	1
2019.03.01	0.93383	0.94211	0.93152	0.94074	116078	168321	5
2019.03.04	0.94358	0.94423	0.94053	0.94318	117095	168778	4
2019.03.05	0.94318	0.94603	0.94138	0.94535	105080	145659	4
2019.03.06	0.94534	0.94708	0.93882	0.94503	115222	157160	1
2019.03.07	0.94509	0.94776	0.94285	0.94368	111542	153281	4
